date,open,high,low,close,adj_close,volume,month,est_N2
2019-11-25,1299.180054,1311.310059,1298.130005,1306.689941,1306.689941,1036200,11,1298.344971
2019-11-26,1309.859985,1314.800049,1305.089966,1313.550049,1313.550049,1069700,11,1301.0149535
2019-11-27,1315.0,1318.359985,1309.630005,1312.98999,1312.98999,995600,11,1310.119995
2019-11-29,1307.119995,1310.204956,1303.969971,1304.959961,1304.959961,587000,11,1313.2700195
2019-12-02,1301.0,1305.829956,1281.0,1289.920044,1289.920044,1510900,12,1308.9749755
2019-12-03,1279.569946,1298.4610599999999,1279.0,1295.280029,1295.280029,1143800,12,1297.4400025
2019-12-04,1307.01001,1325.800049,1304.869995,1320.540039,1320.540039,1537500,12,1292.6000365
2019-12-05,1328.0,1329.358032,1316.439941,1328.130005,1328.130005,1212700,12,1307.910034
2019-12-06,1333.439941,1344.0,1333.439941,1340.619995,1340.619995,1314800,12,1324.335022
2019-12-09,1338.040039,1359.449951,1337.839966,1343.560059,1343.560059,1354300,12,1334.375
2019-12-10,1341.5,1349.974976,1336.040039,1344.660034,1344.660034,1094100,12,1342.090027
2019-12-11,1350.839966,1351.199951,1342.670044,1345.02002,1345.02002,850400,12,1344.1100465
2019-12-12,1345.939941,1355.775024,1340.5,1350.27002,1350.27002,1281000,12,1344.840027
2019-12-13,1347.949951,1353.093018,1343.869995,1347.829956,1347.829956,1549600,12,1347.64502
2019-12-16,1356.5,1364.680054,1352.670044,1361.170044,1361.170044,1397300,12,1349.049988
2019-12-17,1362.890015,1365.0,1351.322998,1355.119995,1355.119995,1854000,12,1354.5
2019-12-18,1356.599976,1360.469971,1351.0,1352.619995,1352.619995,1522600,12,1358.1450195
2019-12-19,1351.819946,1358.099976,1348.984985,1356.040039,1356.040039,1469900,12,1353.869995
2019-12-20,1363.349976,1363.640015,1349.0,1349.589966,1349.589966,3315000,12,1354.330017
2019-12-23,1355.869995,1359.800049,1346.51001,1348.839966,1348.839966,883100,12,1352.8150025
2019-12-24,1348.5,1350.26001,1342.780029,1343.560059,1343.560059,347500,12,1349.214966
2019-12-26,1346.170044,1361.327026,1344.469971,1360.400024,1360.400024,667500,12,1346.2000125
2019-12-27,1362.98999,1364.530029,1349.310059,1351.890015,1351.890015,1038400,12,1351.9800415
2019-12-30,1350.0,1353.0,1334.02002,1336.140015,1336.140015,1050900,12,1356.1450195
2019-12-31,1330.109985,1338.0,1329.084961,1337.02002,1337.02002,961800,12,1344.015015
2020-01-02,1341.550049,1368.140015,1341.550049,1367.369995,1367.369995,1406600,1,1336.5800175
2020-01-03,1347.859985,1372.5,1345.543945,1360.660034,1360.660034,1186400,1,1352.1950075
2020-01-06,1350.0,1396.5,1350.0,1394.209961,1394.209961,1732300,1,1364.0150145
2020-01-07,1397.939941,1402.98999,1390.380005,1393.339966,1393.339966,1502700,1,1377.4349975
2020-01-08,1392.079956,1411.579956,1390.839966,1404.319946,1404.319946,1528000,1,1393.7749635000002
2020-01-09,1420.569946,1427.329956,1410.27002,1419.829956,1419.829956,1500900,1,1398.8299560000003
2020-01-10,1427.560059,1434.928955,1418.349976,1429.72998,1429.72998,1820700,1,1412.0749510000003
2020-01-13,1436.130005,1440.52002,1426.02002,1439.22998,1439.22998,1652300,1,1424.7799680000005
2020-01-14,1439.01001,1441.800049,1428.369995,1430.880005,1430.880005,1558900,1,1434.4799800000008
2020-01-15,1430.209961,1441.39502,1430.209961,1439.199951,1439.199951,1282700,1,1435.0549925000005
2020-01-16,1447.439941,1451.98999,1440.920044,1451.699951,1451.699951,1173700,1,1435.0399780000007
2020-01-17,1462.910034,1481.295044,1458.219971,1480.390015,1480.390015,2396200,1,1445.449951000001
2020-01-21,1479.119995,1491.849976,1471.199951,1484.400024,1484.400024,2036700,1,1466.044983000001
2020-01-22,1491.0,1503.213989,1484.930054,1485.949951,1485.949951,1610800,1,1482.395019500001
2020-01-23,1487.640015,1495.52002,1482.099976,1486.650024,1486.650024,1351200,1,1485.174987500001
2020-01-24,1493.589966,1495.494995,1465.25,1466.709961,1466.709961,1784600,1,1486.2999875000007
2020-01-27,1431.0,1438.069946,1421.199951,1433.900024,1433.900024,1755200,1,1476.6799925000007
2020-01-28,1443.0,1456.0,1432.469971,1452.560059,1452.560059,1577400,1,1450.3049925000007
2020-01-29,1458.800049,1465.430054,1446.73999,1458.630005,1458.630005,1077700,1,1443.2300415000007
2020-01-30,1439.959961,1457.280029,1436.400024,1455.839966,1455.839966,1339400,1,1455.5950320000004
2020-01-31,1468.900024,1470.130005,1428.530029,1434.22998,1434.22998,2417200,1,1457.2349855000004
2020-02-03,1462.0,1490.0,1458.98999,1485.939941,1485.939941,3055200,2,1445.0349730000003
2020-02-04,1457.069946,1469.5,1426.300049,1447.069946,1447.069946,3933000,2,1460.0849605
2020-02-05,1462.420044,1463.839966,1430.560059,1448.22998,1448.22998,1985000,2,1466.5049435
2020-02-06,1450.329956,1481.9997560000002,1449.569946,1472.0,1472.0,1211565,2,1447.649963
