est,y_sample,Date
1295.6124539469236,1306.689941,2019-11-25
1306.0875211333191,1313.550049,2019-11-26
1313.0631230100612,1312.98999,2019-11-27
1313.0761904832973,1304.959961,2019-11-29
1305.0697000350947,1289.920044,2019-12-02
1291.6823860725706,1295.280029,2019-12-03
1294.45766285271,1320.540039,2019-12-04
1323.4459937718323,1328.130005,2019-12-05
1327.2267460074904,1340.619995,2019-12-06
1340.3405197454135,1343.560059,2019-12-09
1342.9101982862092,1344.660034,2019-12-10
1344.6775943667367,1345.02002,2019-12-11
1345.0592990911177,1350.27002,2019-12-12
1350.2591345304618,1347.829956,2019-12-13
1347.9497233215852,1361.170044,2019-12-16
1359.2687753243963,1355.119995,2019-12-17
1355.6441221570378,1352.619995,2019-12-18
1352.4780188313923,1356.040039,2019-12-19
1356.3317048516171,1349.589966,2019-12-20
1349.1805680066293,1348.839966,2019-12-23
1348.6281458818971,1343.560059,2019-12-24
1342.3219788948222,1360.400024,2019-12-26
1363.5292037456477,1351.890015,2019-12-27
1351.636630815477,1336.140015,2019-12-30
1337.655942666573,1337.02002,2019-12-31
1337.1174610286757,1367.369995,2020-01-02
1365.586057201244,1360.660034,2020-01-03
1361.547959935109,1394.209961,2020-01-06
1395.5872862468816,1393.339966,2020-01-07
1393.399469846799,1404.319946,2020-01-08
1403.1087621475763,1419.829956,2020-01-09
1419.9698648980873,1429.72998,2020-01-10
1428.4905979337332,1439.22998,2020-01-13
1439.7764066657621,1430.880005,2020-01-14
1432.5513576996427,1439.199951,2020-01-15
1440.5999817901209,1451.699951,2020-01-16
1449.8218088248864,1480.390015,2020-01-17
1482.2493769692737,1484.400024,2020-01-21
1484.850200193456,1485.949951,2020-01-22
1485.642742485915,1486.650024,2020-01-23
1486.5600170436521,1466.709961,2020-01-24
1467.5419687174542,1433.900024,2020-01-27
1440.3601059994855,1452.560059,2020-01-28
1450.26259904057,1458.630005,2020-01-29
1458.0592510056474,1455.839966,2020-01-30
1455.8272277055864,1434.22998,2020-01-31
1436.31809565031,1485.939941,2020-02-03
1476.9118237755354,1447.069946,2020-02-04
1453.067201251042,1448.22998,2020-02-05
1448.3031397388067,1472.0,2020-02-06
